time, Quad.Est.E.Yaw
1.225001,-0.003493
1.230001,-0.019381
1.235002,-0.018199
1.240002,-0.033546
1.245002,-0.035409
1.250002,-0.046185
1.255003,-0.043744
1.260003,-0.023285
1.265003,-0.023699
1.270003,-0.016692
1.275004,-0.014459
1.280004,0.001977
1.285004,0.004004
1.290004,-0.013482
1.295004,-0.012166
1.300005,-0.018213
1.305005,-0.019138
1.310005,-0.020715
1.315005,-0.019077
1.320006,-0.023440
1.325006,-0.022680
1.330006,-0.007186
1.335006,-0.006806
1.340007,-0.012628
1.345007,-0.014224
1.350007,-0.005366
1.355007,-0.005791
1.360008,0.005431
1.365008,0.005040
1.370008,0.008977
1.375008,0.007285
1.380008,0.020041
1.385009,0.018894
1.390009,0.013959
1.395009,0.013585
1.400009,0.025281
1.405010,0.025154
1.410010,0.023583
1.415010,0.024621
1.420010,0.012730
1.425011,0.012882
1.430011,0.000158
1.435011,0.000357
1.440011,-0.013213
1.445011,-0.015414
1.450012,-0.013739
1.455012,-0.014409
1.460012,-0.023549
1.465012,-0.025361
1.470013,-0.029602
1.475013,-0.032285
1.480013,-0.025112
1.485013,-0.024329
1.490014,0.002265
1.495014,0.003104
1.500014,0.007915
1.505014,0.008815
1.510015,0.022728
1.515015,0.024255
1.520015,0.023609
1.525015,0.023232
1.530015,0.025304
1.535016,0.023813
1.540016,0.006676
1.545016,0.005577
1.550016,-0.004369
1.555017,-0.004164
1.560017,-0.004166
1.565017,-0.003450
1.570017,-0.013885
1.575018,-0.015177
1.580018,0.008798
1.585018,0.011120
1.590018,-0.010365
1.595019,-0.009886
1.600019,-0.016048
1.605019,-0.014312
1.610019,-0.019897
1.615019,-0.019120
1.620020,-0.020652
1.625020,-0.017902
1.630020,-0.017892
1.635020,-0.019480
1.640021,-0.015345
1.645021,-0.013864
1.650021,-0.029346
1.655021,-0.028029
1.660022,-0.022779
1.665022,-0.022876
1.670022,-0.005787
1.675022,-0.006811
1.680022,0.003281
1.685023,0.003715
1.690023,-0.006065
1.695023,-0.005869
1.700023,0.000599
1.705024,0.000495
1.710024,-0.014060
1.715024,-0.015241
1.720024,-0.008958
1.725025,-0.010653
1.730025,-0.010738
1.735025,-0.012004
1.740025,-0.026942
1.745026,-0.030011
1.750026,-0.046028
1.755026,-0.046403
1.760026,-0.032675
1.765026,-0.032540
1.770027,-0.040770
1.775027,-0.042648
1.780027,-0.046142
1.785027,-0.047322
1.790028,-0.026830
1.795028,-0.030294
1.800028,-0.034775
1.805028,-0.036326
1.810029,-0.040376
1.815029,-0.042377
1.820029,-0.034158
1.825029,-0.033472
1.830029,-0.037038
1.835030,-0.035699
1.840030,-0.012518
1.845030,-0.013025
1.850030,-0.004805
1.855031,-0.004543
1.860031,-0.006897
1.865031,-0.005736
1.870031,-0.009784
1.875032,-0.008930
1.880032,-0.021324
1.885032,-0.022054
1.890032,-0.030565
1.895033,-0.031065
1.900033,-0.013425
1.905033,-0.013192
1.910033,-0.024804
1.915033,-0.026721
1.920034,-0.030089
1.925034,-0.027182
1.930034,-0.026016
1.935034,-0.026105
1.940035,-0.023243
1.945035,-0.024595
1.950035,0.000104
1.955035,-0.003040
1.960036,0.017595
1.965036,0.019143
1.970036,0.014101
1.975036,0.014768
1.980036,0.002311
1.985037,0.001489
1.990037,0.009713
1.995037,0.009355
2.000037,-0.005332
2.005037,-0.003463
2.010037,-0.007912
2.015036,-0.009689
2.020036,-0.031266
2.025036,-0.034042
2.030035,-0.038961
2.035035,-0.042597
2.040035,-0.046190
2.045034,-0.046469
2.050034,-0.055080
2.055033,-0.055817
2.060033,-0.067298
2.065033,-0.066319
2.070032,-0.054003
2.075032,-0.056030
2.080032,-0.048343
2.085031,-0.047849
2.090031,-0.080883
2.095031,-0.082018
2.100030,-0.053621
2.105030,-0.054453
2.110029,-0.055003
2.115029,-0.053287
2.120029,-0.027272
2.125028,-0.026063
2.130028,-0.037204
2.135028,-0.035224
2.140027,-0.044298
2.145027,-0.042273
2.150027,-0.035535
2.155026,-0.032761
2.160026,-0.038872
2.165025,-0.041669
2.170025,-0.027852
2.175025,-0.031648
2.180024,-0.035068
2.185024,-0.034629
2.190024,-0.031068
2.195023,-0.033156
2.200023,-0.028367
2.205023,-0.028072
2.210022,-0.025257
2.215022,-0.024166
2.220021,-0.023912
2.225021,-0.027110
2.230021,-0.005857
2.235020,-0.008308
2.240020,-0.021266
2.245020,-0.021610
2.250019,-0.012832
2.255019,-0.012813
2.260019,-0.029521
2.265018,-0.026775
2.270018,-0.022677
2.275017,-0.021214
2.280017,-0.007786
2.285017,-0.010155
2.290016,-0.018981
2.295016,-0.019813
2.300016,-0.007517
2.305015,-0.006628
2.310015,-0.016349
2.315015,-0.014105
2.320014,0.002048
2.325014,0.005783
2.330014,0.016637
2.335013,0.017960
2.340013,0.017616
2.345012,0.019802
2.350012,0.003744
2.355012,0.001282
2.360011,0.003057
2.365011,0.000048
2.370011,0.004238
2.375010,0.003330
2.380010,0.017160
2.385010,0.016324
2.390009,-0.008517
2.395009,-0.008559
2.400008,0.006585
2.405008,0.004413
2.410008,0.000244
2.415007,0.000235
2.420007,-0.014667
2.425007,-0.017039
2.430006,-0.018874
2.435006,-0.018493
2.440006,-0.036325
2.445005,-0.040796
2.450005,-0.045875
2.455004,-0.045022
2.460004,-0.020598
2.465004,-0.018076
2.470003,-0.020162
2.475003,-0.020756
2.480003,-0.009943
2.485002,-0.009148
2.490002,-0.027419
2.495002,-0.029080
2.500001,-0.017105
2.505001,-0.016386
2.510000,-0.007099
2.515000,-0.005991
2.520000,-0.001727
2.524999,-0.002635
2.529999,-0.007347
2.534999,-0.007172
2.539998,-0.001583
2.544998,-0.001964
2.549998,0.017035
2.554997,0.015652
2.559997,0.016712
2.564996,0.019205
2.569996,0.018770
2.574996,0.016536
2.579995,-0.000300
2.584995,-0.000952
2.589995,-0.006555
2.594994,-0.009739
2.599994,0.007496
2.604994,0.008898
2.609993,0.004161
2.614993,0.003875
2.619992,0.015923
2.624992,0.013310
2.629992,0.027682
2.634991,0.023135
2.639991,0.044935
2.644991,0.047237
2.649990,0.037761
2.654990,0.039746
2.659990,0.048617
2.664989,0.047171
2.669989,0.052720
2.674989,0.051649
2.679988,0.032850
2.684988,0.031172
2.689987,0.030221
2.694987,0.029589
2.699987,0.030505
2.704986,0.028484
2.709986,0.016136
2.714986,0.016418
2.719985,0.026671
2.724985,0.029684
2.729985,0.015562
2.734984,0.017602
2.739984,0.022284
2.744983,0.020950
2.749983,0.026680
2.754983,0.025664
2.759982,0.012012
2.764982,0.013006
2.769982,0.016704
2.774981,0.014578
2.779981,0.003701
2.784981,0.003504
2.789980,-0.012196
2.794980,-0.014219
2.799979,-0.030804
