time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.045034,nan,-0.045393,0.001082
2.050034,-0.117729,-0.053984,0.001107
2.055033,nan,-0.054688,0.001134
2.060033,-0.156451,-0.066148,0.001162
2.065033,nan,-0.065133,0.001193
2.070032,0.029425,-0.052791,0.001225
2.075032,nan,-0.054780,0.001257
2.080032,0.009224,-0.047068,0.001289
2.085031,nan,-0.046534,0.001322
2.090031,-0.339675,-0.079540,0.001356
2.095031,nan,-0.080635,0.001389
2.100030,0.162472,-0.052211,0.001424
2.105030,nan,-0.052999,0.001462
2.110029,-0.061032,-0.053516,0.001506
2.115029,nan,-0.051741,0.001557
2.120029,0.168388,-0.025681,0.001615
2.125028,nan,-0.024398,0.001678
2.130028,-0.132026,-0.035485,0.001746
2.135028,nan,-0.033420,0.001819
2.140027,-0.096702,-0.042433,0.001896
2.145027,nan,-0.040316,0.001971
2.150027,0.019577,-0.033521,0.002041
2.155026,nan,-0.030667,0.002106
2.160026,-0.088560,-0.036731,0.002163
2.165025,nan,-0.039469,0.002207
2.170025,0.102025,-0.025624,0.002238
2.175025,nan,-0.029399,0.002251
2.180024,-0.038624,-0.032818,0.002246
2.185024,nan,-0.032397,0.002229
2.190024,-0.003919,-0.028853,0.002205
2.195023,nan,-0.030973,0.002177
2.200023,-0.013501,-0.026207,0.002151
2.205023,nan,-0.025934,0.002135
2.210022,-0.002013,-0.023130,0.002122
2.215022,nan,-0.022053,0.002110
2.220021,-0.006589,-0.021810,0.002097
2.225021,nan,-0.025027,0.002078
2.230021,0.173917,-0.003795,0.002049
2.235020,nan,-0.006290,0.002011
2.240020,-0.110259,-0.019283,0.001963
2.245020,nan,-0.019690,0.001909
2.250019,0.054495,-0.010957,0.001852
2.255019,nan,-0.011006,0.001795
2.260019,-0.144036,-0.027759,0.001740
2.265018,nan,-0.025077,0.001689
2.270018,0.031119,-0.021016,0.001644
2.275017,nan,-0.019603,0.001602
2.280017,0.087547,-0.006209,0.001558
2.285017,nan,-0.008639,0.001506
2.290016,-0.109011,-0.017507,0.001454
2.295016,nan,-0.018399,0.001404
2.300016,0.089578,-0.006145,0.001351
2.305015,nan,-0.005322,0.001294
2.310015,-0.089366,-0.015094,0.001226
2.315015,nan,-0.012938,0.001152
2.320014,0.124526,0.003158,0.001082
2.325014,nan,0.006811,0.001015
2.330014,0.074534,0.017614,0.000952
2.335013,nan,0.018860,0.000886
2.340013,0.009481,0.018460,0.000816
2.345012,nan,0.020562,0.000745
2.350012,-0.106055,0.004446,0.000673
2.355012,nan,0.001900,0.000604
2.360011,0.000743,0.003623,0.000543
2.365011,nan,0.000550,0.000492
2.370011,0.033139,0.004702,0.000447
2.375010,nan,0.003743,0.000404
2.380010,0.126288,0.017538,0.000362
2.385010,nan,0.016653,0.000322
2.390009,-0.242978,-0.008217,0.000288
2.395009,nan,-0.008291,0.000264
2.400008,0.110122,0.006838,0.000247
2.405008,nan,0.004653,0.000240
2.410008,-0.036538,0.000483,0.000239
2.415007,nan,0.000474,0.000240
2.420007,-0.158144,-0.014426,0.000244
2.425007,nan,-0.016788,0.000253
2.430006,-0.041348,-0.018617,0.000259
2.435006,nan,-0.018232,0.000261
2.440006,-0.191615,-0.036065,0.000258
2.445005,nan,-0.040542,0.000253
2.450005,-0.063681,-0.045623,0.000251
2.455004,nan,-0.044769,0.000254
2.460004,0.169742,-0.020341,0.000259
2.465004,nan,-0.017812,0.000265
2.470003,-0.012361,-0.019895,0.000268
2.475003,nan,-0.020492,0.000263
2.480003,0.073666,-0.009684,0.000254
2.485002,nan,-0.008901,0.000245
2.490002,-0.158903,-0.027178,0.000237
2.495002,nan,-0.028852,0.000226
2.500001,0.095769,-0.016889,0.000208
2.505001,nan,-0.016200,0.000180
2.510000,0.057033,-0.006938,0.000149
2.515000,nan,-0.005862,0.000124
2.520000,0.043633,-0.001613,0.000109
2.524999,nan,-0.002531,0.000103
2.529999,-0.051827,-0.007244,0.000102
2.534999,nan,-0.007069,0.000103
2.539998,0.035511,-0.001478,0.000106
2.544998,nan,-0.001859,0.000104
2.549998,0.174352,0.017136,0.000100
2.554997,nan,0.015747,0.000093
2.559997,0.009600,0.016799,0.000082
2.564996,nan,0.019276,0.000068
2.569996,0.019678,0.018829,0.000053
2.574996,nan,0.016577,0.000039
2.579995,-0.140636,-0.000267,0.000029
2.584995,nan,-0.000932,0.000018
2.589995,-0.043640,-0.006547,0.000002
2.594994,nan,-0.009749,-0.000013
2.599994,0.132329,0.007475,-0.000027
2.604994,nan,0.008855,-0.000047
2.609993,-0.066248,0.004096,-0.000078
2.614993,nan,0.003768,-0.000114
2.619992,0.105655,0.015787,-0.000151
2.624992,nan,0.013129,-0.000189
2.629992,0.134085,0.027469,-0.000230
2.634991,nan,0.022872,-0.000272
2.639991,0.217341,0.044638,-0.000313
2.644991,nan,0.046893,-0.000350
2.649990,-0.016304,0.037391,-0.000382
2.654990,nan,0.039343,-0.000407
2.659990,0.110301,0.048197,-0.000429
2.664989,nan,0.046728,-0.000446
2.669989,0.118305,0.052265,-0.000460
2.674989,nan,0.051180,-0.000471
2.679988,-0.114747,0.032377,-0.000473
2.684988,nan,0.030707,-0.000461
2.689987,0.044807,0.029775,-0.000435
2.694987,nan,0.029181,-0.000400
2.699987,0.022419,0.030130,-0.000355
2.704986,nan,0.028170,-0.000304
2.709986,-0.091880,0.015865,-0.000249
2.714986,nan,0.016216,-0.000190
2.719985,0.099554,0.026516,-0.000132
2.724985,nan,0.029599,-0.000074
2.729985,-0.114200,0.015522,-0.000017
2.734984,nan,0.017630,0.000039
2.739984,0.052504,0.022356,0.000094
2.744983,nan,0.021085,0.000144
2.749983,0.061143,0.026850,0.000186
2.754983,nan,0.025879,0.000222
2.759982,-0.078177,0.012253,0.000253
2.764982,nan,0.013280,0.000278
2.769982,0.039721,0.016997,0.000302
2.774981,nan,0.014903,0.000332
2.779981,-0.094593,0.004054,0.000370
2.784981,nan,0.003911,0.000417
